mode,epoch,train_loss,val_loss,epoch_time_sec,cum_time_sec,val_macro_f1_0.5,val_macro_f1_0.4,val_macro_f1_0.3,val_hamming_loss_0.5,val_f1_bus_0.5,val_prec_bus_0.5,val_rec_bus_0.5,val_f1_bus_0.4,val_f1_car_0.5,val_prec_car_0.5,val_rec_car_0.5,val_f1_car_0.4,val_f1_motorcycle_0.5,val_prec_motorcycle_0.5,val_rec_motorcycle_0.5,val_f1_motorcycle_0.4,val_f1_truck_0.5,val_prec_truck_0.5,val_rec_truck_0.5,val_f1_truck_0.4
finetuned,1,0.6914879521929231,0.6219751588478409,67.20827007293701,67.20827102661133,0.6578137801828238,0.6476241229788018,0.6114421190976793,0.2322933122696155,0.6054781355117732,0.4984177215189873,0.7711138310893513,0.5449438202247191,0.7343374808993669,0.8347394540942928,0.6554949337490257,0.7929892891918209,0.7110536522301228,0.6723716381418093,0.7544581618655692,0.6636568848758465,0.5803858520900321,0.5962014863748968,0.5653876272513704,0.5889064976228209
finetuned,2,0.6239048169609299,0.6148555949840375,56.029650926589966,123.33256220817566,0.6908531360667332,0.6769275133891495,0.6503138560770046,0.2218272775144813,0.6427795874049945,0.577560975609756,0.7246022031823746,0.5956662056247118,0.782608695652174,0.8133669609079445,0.7540919719407638,0.8126865671641791,0.7451263537906138,0.7865853658536586,0.7078189300411523,0.7288359788359788,0.5928979074191503,0.4981353223228556,0.7321848081440877,0.570521301931728
finetuned,3,0.5882266105028023,0.5679570468492794,102.4201271533966,225.8587801456451,0.7011223281583253,0.704152916458002,0.6859919648097469,0.2068852027382833,0.7184466019417476,0.8288,0.6340269277845777,0.723540731237973,0.7401323294547114,0.8926802421574023,0.6321122369446609,0.8000835596406936,0.7337624341720305,0.639795918367347,0.8600823045267489,0.687299893276414,0.6121479470648117,0.5401197604790419,0.706342991386061,0.6056874816769275
finetuned,4,0.4425820593547104,0.5709309299849661,105.69393467903136,331.65439009666443,0.6880265864508605,0.6853462125564744,0.6657425717055736,0.2099789362822538,0.6477654973570399,0.5332278481012658,0.824969400244798,0.6047516198704104,0.7737478411053541,0.8673765730880929,0.6983632112236945,0.8093591047812818,0.735224586288416,0.6458982346832814,0.8532235939643347,0.7112092766427388,0.5953684210526315,0.6438979963570127,0.5536413469068129,0.6160648489314665
finetuned,5,0.330143514674409,0.6451595842430251,103.97733402252196,435.6367821693421,0.7270010712036035,0.7214351573816019,0.7104413660613444,0.2014218009478673,0.6976470588235294,0.6715741789354474,0.7258261933904528,0.6895787139689579,0.8274905921964746,0.8413209826822392,0.8141075604053001,0.8425419573826136,0.7787610619469026,0.772972972972973,0.7846364883401921,0.7577720207253886,0.6041055718475073,0.4828879512423816,0.8065779169929522,0.5958479374494473
finetuned,6,0.2445590199563736,0.8351231977900685,102.3972511291504,538.140527009964,0.7218943752774505,0.7306595826042452,0.729524518255814,0.1714718272775144,0.7207702888583218,0.8226059654631083,0.6413708690330477,0.7266710787557908,0.8014996875650906,0.8608501118568233,0.7498051441932969,0.8235294117647058,0.7804511278195488,0.8635607321131448,0.7119341563786008,0.7828612926652142,0.5848563968668408,0.6581782566111655,0.5262333594361785,0.5895765472312704
scratch,1,0.8385548861582477,0.7820358495765011,107.26191473007202,107.26191806793213,0.49104199344948185,0.5383218808522909,0.535870764027871,0.369536598209584,0.48379937860630273,0.37952646239554316,0.6670746634026927,0.45196959225984795,0.514419329696025,0.7716289945440374,0.3858144972720187,0.7159204978919895,0.510325837540156,0.383448275862069,0.7626886145404664,0.47155747351902705,0.45562342795544375,0.4209827357237716,0.4964761158966327,0.513839959738299
scratch,2,0.7798989401724106,0.7870636599637635,104.53539896011353,211.91261911392212,0.5478717338470744,0.5577414183070679,0.5393091227589278,0.32971300684570826,0.5046812304948729,0.39691444600280507,0.6927784577723378,0.44730756524611825,0.6972515856236786,0.762014787430684,0.642634450506625,0.7903648106126724,0.5389778007227671,0.43211920529801323,0.7160493827160493,0.4995801847187238,0.4505763185469787,0.40668348045397223,0.5050900548159749,0.493713112650757
scratch,3,0.7610953985838066,0.8099129227916463,102.00446271896362,314.0330262184143,0.5358894668889973,0.5682444654486161,0.5725042504250645,0.3557135334386519,0.49306381292112567,0.3645955451348183,0.7613219094247246,0.4603494623655914,0.5880935165100024,0.7706885660138977,0.475448168355417,0.7441860465116279,0.5465213746856664,0.7025862068965517,0.44718792866941015,0.5592203898050975,0.5158791634391944,0.38482280431432975,0.7823022709475332,0.5092219631121475
scratch,4,0.7451478900586752,0.8748095230154768,102.07608771324158,416.11414098739624,0.4689024435688231,0.5244746179198961,0.5287376239335474,0.36611374407582936,0.4863144493952896,0.506631299734748,0.4675642594859241,0.4894117647058824,0.6424269462413562,0.7511737089201878,0.5611847233047544,0.7579027067953814,0.43834732085216266,0.28661882650907555,0.9314128943758574,0.4027818023761229,0.30852105778648387,0.4117647058823529,0.24667188723570868,0.4478021978021978
scratch,5,0.7331198288982076,0.830904236431182,102.22326183319092,518.3445491790771,0.5513796120197675,0.581893657524861,0.5852022518381628,0.29462875197472355,0.5205751115518096,0.4375,0.642594859241126,0.5010233319688907,0.7299444003177125,0.7441295546558705,0.7162899454403742,0.7940165061898212,0.4435721295387635,0.7793103448275862,0.3100137174211248,0.5122377622377622,0.5114268066707844,0.422233554309026,0.6483946750195771,0.5202970297029703
scratch,6,0.721893038337392,0.8780419000391586,102.09810209274292,620.553610086441,0.48223410639997755,0.5372399975229711,0.552918733824716,0.3597288046340179,0.48586707410236823,0.6463414634146342,0.38922888616891066,0.5201612903225806,0.5443393815486839,0.7906458797327395,0.41504286827747466,0.7024863042562157,0.4522443469456632,0.2999104744852283,0.9190672153635117,0.4247624885075084,0.4464856230031949,0.45558272208638956,0.437744714173845,0.5015499070055797
scratch,7,0.7120238994117967,0.7720842311858126,102.06500196456909,722.6236040592194,0.565223369160797,0.5748776768483723,0.5553858527287452,0.35604265402843605,0.44948849104859334,0.3041973171787105,0.8604651162790697,0.4094955489614243,0.7199836367355288,0.7576409814894532,0.6858924395946999,0.8005564249695705,0.5963431786216596,0.6118326118326118,0.5816186556927297,0.5787932044522555,0.4950781702374059,0.3927423059255857,0.6695379796397808,0.5106655290102389
scratch,8,0.6990923324384187,0.7342135724800395,101.52594709396362,824.2593960762024,0.5663269538032936,0.5924554251835122,0.5860011815851809,0.2816614007372301,0.5473220836390316,0.6831501831501832,0.4565483476132191,0.5618811881188119,0.688660694778239,0.783689706613625,0.6141855027279813,0.7781969068276122,0.5740922473012757,0.44690603514132926,0.8024691358024691,0.5214493960849645,0.4552327894946279,0.4627831715210356,0.44792482380579485,0.5082942097026604
scratch,9,0.6884903673301066,0.7310031295889864,101.512521982193,925.8877229690552,0.6348612379085106,0.6387176035134701,0.618401826895236,0.2449315429173249,0.5769230769230769,0.6056527590847914,0.5507955936352509,0.573986308583465,0.8074534161490683,0.7412838057999348,0.8865939204988309,0.8156758551976088,0.6236734693877551,0.7701612903225806,0.52400548696845,0.6389684813753582,0.5313949891741416,0.439161554192229,0.6726703210649961,0.5262397688974483
scratch,10,0.680100245905998,0.9234669765338828,101.473965883255,1027.4742240905762,0.42862307719370596,0.47723829056839284,0.5064726604257521,0.4214718272775145,0.5468258956631049,0.562015503875969,0.5324357405140759,0.5402792696025779,0.287378640776699,0.8473282442748091,0.1730319563522993,0.4611064307778714,0.4030066493206129,0.2553113553113553,0.9561042524005487,0.38559436772271866,0.4772811230144071,0.45174825174825173,0.5058731401722788,0.5219730941704036
scratch,11,0.6674233455586254,0.731567432498731,101.56470274925232,1129.0468680858612,0.6068203971010697,0.6055517170816132,0.5688999250267549,0.31062401263823064,0.5154384520378756,0.3883374689826303,0.7662178702570379,0.47113470471134705,0.759428344581183,0.7738673139158576,0.7455183164458301,0.8082627118644068,0.6172465960665658,0.688026981450253,0.5596707818930041,0.6179775280898876,0.5351681957186545,0.3966754816773706,0.822239624119029,0.5248319236608111
scratch,12,0.6569435265906771,0.7119274682719937,102.34676098823547,1231.3992190361023,0.5887265142262977,0.5882835254457488,0.565767332573022,0.3174697209057399,0.5604838709677419,0.47643530419880037,0.6805385556915544,0.5325803649000869,0.7222104144527098,0.7942964001870033,0.6621200311769291,0.7853463079564968,0.5490196078431373,0.41120218579234974,0.8257887517146777,0.5066562255285826,0.5231921636416018,0.41385597082953507,0.7110415035238841,0.5285512033978291
